Completed,Download,Reference,ID,Group,Add_Description,Breed,Old_Name,Old_ID,DOI,Title,Tesla,Scanner,Model,Acq_Type,Subject,N_Exclusions,N_Total,Female,Male,Age,Age_Std,Age_Unit,Water_Supp,Lipid_Supp,Metab-Modifier,TI,N_TI,T2_Filter,Localization,Multi-Scan_Method,Water_Reference,Bandwidth (Hz),Vector-Size,N_Averages,TR,N_TR,TE,N_TE,Processing,Fit,T1_Corrected,Fit_Type,Segmentation,Region,Tissue,GM,GM_Std,WM,WM_Std,CSF,CSF_Std,Voxel_X,Voxel_Y,Voxel_Z,Volume,Notes,Contact,Emailed,PerCom,Volume
1,X,1999_choi_41,1,Healthy,,,"Choi et al., 1999",B,10.1002/(SICI)1522-2594(199901)41:1<204::AID-MRM29>3.0.CO;2-7,Localized proton MRS of the human hippocampus: metabolite concentrations and relaxation times,2,Siemens,,In Vivo,Human,,12,,,,,,,,,,,0,STEAM,,,,,,6000,1,"20,135,270",3,LCModel,LCModel,,Monoexponential,,Hippocampus,GM,,,,,,,13,18,23,5.382,8 Subjects w/Bilateral Acquisition (12 Total Included),,,,41
1,X,2006_choi_56,1,Healthy,,,"Choi et al., 2006",A,10.1002/mrm.21055,T2 measurement and quantification of glutamate in human brain in vivo,3,Magnex,,In Vivo,Human,,5,,,20-30,,Years,,,,,,0,PRESS,JDE,,2500,2048,64,3267-8000,7,128-380,6,In-House,In-House,,Monoexponential,,Prefrontal,GM,67.2,2.1,20.1,2.2,12.6,1.2,30,25,25,18.75,,,,,56
1,X,2006_choi_56,2,Healthy,,,"Choi et al., 2006",B,10.1002/mrm.21055,T2 measurement and quantification of glutamate in human brain in vivo,3,Magnex,,In Vivo,Human,,5,,,20-30,,Years,,,,,,0,PRESS,JDE,,2500,2048,64,3267-8000,7,128-380,6,In-House,In-House,,Monoexponential,,Left Frontal,WM,30.7,3.9,66.4,4.6,2.9,1.4,30,25,25,18.75,,,,,56
1,X,1993_christiansen_11,1,Control,,,"Christiansen et al., 1993",I,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,24.9,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Occipital,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,2,Control,,,"Christiansen et al., 1993",J,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,24.9,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Basal Ganglia,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,3,Control,,,"Christiansen et al., 1993",K,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,24.9,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Temporal,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,4,Control,,,"Christiansen et al., 1993",L,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,24.9,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Frontal,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,5,Aged,,,"Christiansen et al., 1993",M,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,67.3,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Occipital,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,6,Aged,,,"Christiansen et al., 1993",N,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,67.3,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Basal Ganglia,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,7,Aged,,,"Christiansen et al., 1993",O,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,67.3,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Temporal,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1993_christiansen_11,8,Aged,,,"Christiansen et al., 1993",P,10.1016/0730-725x(93)90197-l,"The concentration of N-acetyl aspartate, creatine + phosphocreatine, and choline in different parts of the brain in adulthood and senium",1.5,Siemens,,In Vivo,Human,,8,,,67.3,,Years,,,,,,0,STEAM,,,4000,4096,256,1600-6000,2,"20,46,92,272",4,In-House,In-House,,,,Frontal,Mix,,,,,,,20,20,20,8,,,,,11
1,X,1995_christiansen_13,1,Control,,,,,10.1016/0730-725x(94)00113-h,Reduced n-acetylaspartate content in the frontal part of the brain in patients with probable alzheimer's disease,1.5,Siemens,Helicon SP,In Vivo,Human,,8,4,4,67.3,,Years,,,,,,0,STEAM,,,2000,2048,256,1600,1,"20,46,92,272",4,In-House,In-House,,Monoexponential,,Right Frontal,Unknown,,,,,,,20,20,20,8,,,,,13
1,X,1995_christiansen_13,2,Alzheimer's,,,,,10.1016/0730-725x(94)00113-h,Reduced n-acetylaspartate content in the frontal part of the brain in patients with probable alzheimer's disease,1.5,Siemens,Helicon SP,In Vivo,Human,,12,6,6,74.3,,Years,,,,,,0,STEAM,,,2000,2048,256,1600,1,"20,46,92,272",4,In-House,In-House,,Monoexponential,,Right Frontal,Unknown,,,,,,,20,20,20,8,,,,,13
1,X,2008_cudalba_11,1,Healthy,,Sprague-Dawley,"Cudalba et al., 2008",B,10.1016/j.crci.2007.08.013,Rat brain metabolite relaxation time estimates using Magnetic Resonance Spectroscopy at two different field strengths,4.7,Bruker,,In Vivo,Rat,,8,,,,,,VAPOR,,,,,0,PRESS,,,4000,4096,8,4000,1,"20,40,60,80,100,136",6,jMRUI,AMARES,,Monoexponential,,Left Central,Unknown,,,,,,,,,,3.5,,,,,11
1,X,2008_cudalba_11,2,Healthy,,Sprague-Dawley,"Cudalba et al., 2008",D,10.1016/j.crci.2007.08.013,Rat brain metabolite relaxation time estimates using Magnetic Resonance Spectroscopy at two different field strengths,7,Bruker,,In Vivo,Rat,,8,,,,,,VAPOR,,,,,0,PRESS,,,4000,4096,8,4000,1,"20,40,60,80,100,136",6,jMRUI,AMARES,,Monoexponential,,Left Central,Unknown,,,,,,,,,,3.5,,,,,11
1,X,2008_cudalba_11,3,Phantom,,,"Cudalba et al., 2008",F,10.1016/j.crci.2007.08.013,Rat brain metabolite relaxation time estimates using Magnetic Resonance Spectroscopy at two different field strengths,4.7,Bruker,,In Vitro,Solution,,1,,,,,,VAPOR,,,,,0,PRESS,,,4000,4096,8,4000,1,"60,100,200,300,400,500,000,000",8,jMRUI,AMARES,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,11
1,X,2008_cudalba_11,4,Phantom,,,"Cudalba et al., 2008",H,10.1016/j.crci.2007.08.013,Rat brain metabolite relaxation time estimates using Magnetic Resonance Spectroscopy at two different field strengths,7,Bruker,,In Vitro,Solution,,1,,,,,,VAPOR,,,,,0,PRESS,,,4000,4096,8,4000,1,"60,100,200,300,400,500,000,000",8,jMRUI,AMARES,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,11
1,X,2021_dacko_85,1,Healthy,,,,,10.1002/mrm.28500,Flexible MEGA editing scheme with asymmetric adiabatic pulses applied for T2 measurement of lactate in human brain,3,Siemens,PRISMA,In Vivo,Human,,6,1,5,31,3,Years,,,,,,0,PRESS,MEGA,,,,,2000,1,"144,216,288,360,432",5,In-House,In-House,,Monoexponential,,Occipital,Unknown,45,4,48,2,6,2,30,30,30,27,,,,,85
1,X,2006_degraaf_56,1,Healthy,,Sprague-Dawley,"de Graaf et al., 2006",D,10.1002/mrm.20946,High magnetic field water and metabolite proton T1 and T2 relaxation in rat brain in vivo,4,Magnex,,In Vivo,Rat,,5,,,,,,SWAMP,,,,,0,PRESS_AFP,,,2000,512,,3000,1,10-450,16,In-House,In-House,,,,"Cortex, Hippocampus, Corpus Callosum",Und,,,,,,,5,3,5,0.075,,,,,56
1,X,2006_degraaf_56,2,Healthy,,Sprague-Dawley,"de Graaf et al., 2006",E,10.1002/mrm.20946,High magnetic field water and metabolite proton T1 and T2 relaxation in rat brain in vivo,9.4,Magnex,,In Vivo,Rat,,5,,,,,,SWAMP,,,,,0,PRESS_AFP,,,5000,1024,,3000,1,10-450,16,In-House,In-House,,,,"Cortex, Hippocampus, Corpus Callosum",Unknown,,,,,,,5,3,5,0.075,,,,,56
1,X,2006_degraaf_56,3,Healthy,,Sprague-Dawley,"de Graaf et al., 2006",F,10.1002/mrm.20946,High magnetic field water and metabolite proton T1 and T2 relaxation in rat brain in vivo,11.7,Magnex,,In Vivo,Rat,,5,,,,,,SWAMP,,,,,0,PRESS_AFP,,,6000,1024,,3000,1,10-450,16,In-House,In-House,,,,"Cortex, Hippocampus, Corpus Callosum",Unknown,,,,,,,5,3,5,0.075,,,,,56
1,X,2010_deelchand_206,1,Healthy,,,"Deelchand et al., 2010",B,10.1016/j.jmr.2010.06.006,In vivo 1H NMR spectroscopy of the human brain at 9.4 T: Initial results,9.4,Magnex,,In Vivo,Human,,6,,,20-55,,Years,VAPOR,,,,,0,STEAM,,,8000,8192,,6000,1,"70,80,90,100,120,150,200",7,LCModel,LCModel,,Monoexponential,,Occipital,Und,,,,,,,20,20,20,8,,dinesh@cmrr.umn.edu,1,,206
1,X,2012_deelchand_67,1,Healthy,,,"Deelchand et al., 2012",A,10.1002/mrm.23080,Measurement of transverse relaxation times of J-coupled metabolites in the human visual cortex at 4 T,4,Oxford,,In Vivo,Human,,6,,,37,17,Years,VAPOR,,,,,0,LASER,,,,,128,4000,1,"53,75,100,150,200,300,400",7,LCModel,LCModel,,,,Occipital,Unknown,,,,,,,,,,0,,,,,67
1,X,2015_deelchand_73,1,Healthy,,Sprague-Dawley,"Deelchand et al., 2015",A,10.1002/mrm.25088,Effect of Carr-Purcell refocusing pulse trains on transverse relaxation times of metabolites in rat brain at 9.4 Tesla,9.4,Magnex,,In Vivo,Rat,,6,,,,,,VAPOR,,,,,0,LASER,,,10000,10000,,,,"18,25,32,46,60,100,200,400",8,LCModel,LCModel,,,,,Unknown,,,,,,,5,2.5,5,0.0625,,,,,73
1,X,2015_deelchand_73,2,Healthy,,Sprague-Dawley,"Deelchand et al., 2015",B,10.1002/mrm.25088,Effect of Carr-Purcell refocusing pulse trains on transverse relaxation times of metabolites in rat brain at 9.4 Tesla,9.4,Magnex,,In Vivo,Rat,,6,,,,,,VAPOR,,,,,CPMG,LASER,,,10000,10000,,,,"30,42,66,114,210",5,LCModel,LCModel,,,,,Unknown,,,,,,,5,2.5,5,0.06,CP-LASER,,,,73
1,X,2015_deelchand_73,3,Healthy,,Sprague-Dawley,"Deelchand et al., 2015",C,10.1002/mrm.25088,Effect of Carr-Purcell refocusing pulse trains on transverse relaxation times of metabolites in rat brain at 9.4 Tesla,9.4,Magnex,,In Vivo,Rat,,6,,,,,,VAPOR,,,,,CPMG,LASER,,,10000,10000,,,,"42,66,114,210,402",5,LCModel,LCModel,,,,,Unknown,,,,,,,5,2.5,5,0.06,T2p-LASER,,,,73
1,X,2018_deelchand_79,1,Healthy,,,"Deelchand et al., 2018",A,10.1002/mrm.26826,Transverse relaxation time constants of the five major metabolites in human brain measured in vivo using LASER and PRESS at 3 T,3,Siemens,,In Vivo,Human,,5,1,4,21,1,Years,VAPOR,,,,,0,LASER,,,6000,2048,,3000,1,"35,140,230,290,330,400",6,LCModel,LCModel,,,,PFC,Mix,64,6,24,7,12,3,25,25,25,15.63,LASER,,,,79
1,X,2018_deelchand_79,2,Healthy,,,"Deelchand et al., 2018",B,10.1002/mrm.26826,Transverse relaxation time constants of the five major metabolites in human brain measured in vivo using LASER and PRESS at 3 T,3,Siemens,,In Vivo,Human,,5,1,4,21,1,Years,VAPOR,,,,,0,PRESS,,,6000,2048,,3000,1,"23,60,140,210,270,400",6,LCModel,LCModel,,,,PFC,Mix,64,6,24,7,12,3,25,25,25,15.63,PRESS,,,,79
1,X,2020_deelchand_95,1,Control,,,"Deelchand et al., 2020",A,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,32,23,9,21,1,Years,VAPOR,,,,,0,LASER,,,6000,2048,8,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,Posterior Cingulate,Mix,56,3,30.5,3,13,4,25,25,25,15.63,,,,,95
1,X,2020_deelchand_95,2,Control,,,"Deelchand et al., 2020",B,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,32,23,9,21,1,Years,VAPOR,,,,,0,LASER,,,6000,2048,16,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,Occipital,Mix,42.5,2.5,42.5,2.5,14.5,3,30,23,23,15.87,,,,,95
1,X,2020_deelchand_95,3,Control,,,"Deelchand et al., 2020",C,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,32,23,9,21,1,Years,VAPOR,,,,,0,LASER,,,6000,2048,32,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,PFC,Mix,57.5,2.5,26.75,2.5,16,2.5,25,25,25,15.63,,,,,95
1,X,2020_deelchand_95,4,Aged,,,"Deelchand et al., 2020",D,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,26,15,11,74,3,Years,VAPOR,,,,,0,LASER,,,6000,2048,32,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,Posterior Cingulate,Mix,45.5,3,31,3,24,5.5,25,25,25,15.63,,,,,95
1,X,2020_deelchand_95,5,Aged,,,"Deelchand et al., 2020",E,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,26,15,11,74,3,Years,VAPOR,,,,,0,LASER,,,6000,2048,64,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,Occipital,Mix,37.5,2.5,42.5,3,19.5,4,30,23,23,15.87,,,,,95
1,X,2020_deelchand_95,6,Aged,,,"Deelchand et al., 2020",F,10.1016/j.neurobiolaging.2020.07.017,Changes in the intracellular microenvironment in the aging human brain,3,Siemens,PRISMA,In Vivo,Human,,26,15,11,74,3,Years,VAPOR,,,,,0,LASER,,,6000,2048,128,3000,1,"35,140,230,290,330,400",6,MRSpa,LCModel,,,,PFC,Mix,47.5,4,26.5,3.5,26,6,25,25,25,15.625,,,,,95
1,X,2019_dehghani_83,1,Healthy,,,"Dehghani et al., 2019",B,10.1002/mrm.28066,"Lactate measurement by neurochemical profiling in the dorsolateral prefrontal cortex at 7T: accuracy, precision, and relaxation times",7,Siemens,PRISMA,In Vivo,Human,,6,2,4,23,2,Years,VAPOR,,,,,0,semi-SPECIAL,,,4000,2048,100,6500,1,"16,110,240",3,LCModel,LCModel,,,,dlPFC,Unknown,,,,,,,,,,0,,,,,83
1,X,1998_dreher_39,1,Control,Contalateral Baseline,Wistar,,,10.1002/mrm.1910390605,Temporal and Regional Changes during Focal Ischemia in Rat Brain Studied by Proton Spectroscopic Imaging and Quantitative Difision NMR Imaging,4.7,Bruker,Biospec,In Vivo,Rat,,6,0,6,,,,Custom,,,,,0,,,,2100,256,,1300,1,"136,272,408",3,In-House,In-House,,,,Multiple,Unknown,,,,,,,,,,0,,,,,39
1,X,1998_dreher_39,2,Control,Contalateral 6Hours,Wistar,,,10.1002/mrm.1910390605,Temporal and Regional Changes during Focal Ischemia in Rat Brain Studied by Proton Spectroscopic Imaging and Quantitative Difision NMR Imaging,4.7,Bruker,Biospec,In Vivo,Rat,,6,0,6,,,,Custom,,,,,0,,,,2100,256,,1300,1,"136,272,408",3,In-House,In-House,,,,Multiple,Unknown,,,,,,,,,,0,,,,,
1,X,1998_dreher_39,3,Ischemia,Ipsilateral Baseline,Wistar,,,10.1002/mrm.1910390605,Temporal and Regional Changes during Focal Ischemia in Rat Brain Studied by Proton Spectroscopic Imaging and Quantitative Difision NMR Imaging,4.7,Bruker,Biospec,In Vivo,Rat,,6,0,6,,,,Custom,,,,,0,,,,2100,256,,1300,1,"136,272,408",3,In-House,In-House,,,,Multiple,Unknown,,,,,,,,,,0,,,,,39
1,X,1998_dreher_39,4,Ischemia,Ipsilateral 6Hours,Wistar,,,10.1002/mrm.1910390605,Temporal and Regional Changes during Focal Ischemia in Rat Brain Studied by Proton Spectroscopic Imaging and Quantitative Difision NMR Imaging,4.7,Bruker,Biospec,In Vivo,Rat,,6,0,6,,,,Custom,,,,,0,,,,2100,256,,1300,1,"136,272,408",3,In-House,In-House,,,,Multiple,Unknown,,,,,,,,,,0,,,,,
1,X,2012_du_137,1,Control,,,,,10.1016/j.schres.2012.01.026,Water and metabolite transverse T2 relaxation time abnormalities in the white matter in schizophrenia,4,Varian,,In Vivo,Human,,16,6,10,31.7,7.2,Years,,,,,,0,PRESS,,,,,48,3000,1,"30,90,120,200",4,In-House,In-House,,,,Right Corona Radiata,WM,,,,,,,10,30,30,9,,,,,137
1,X,2012_du_137,2,Schizophrenia,,,,,10.1016/j.schres.2012.01.026,Water and metabolite transverse T2 relaxation time abnormalities in the white matter in schizophrenia,4,Varian,,In Vivo,Human,,16,5,11,34.8,10.1,Years,,,,,,0,PRESS,,,,,48,3000,1,"30,90,120,200",4,In-House,In-House,,,,Right Corona Radiata,WM,,,,,,,10,30,30,9,,,,,137
1,X,2005_dumoulin,1,Control,,,"Dumoulin et al., 2005",A,ISMRM_1179_2005,Increased brain metabolite T2 relaxation times in patients with Alzheimer’s disease,3,GE,,In Vivo,Human,,40,,,70.5,9,Years,,,,,,0,PRESS,,,,,2,2000,1,35-355,128,,,,,,Posterior Cingulate,Unknown,,,,,,,20,20,20,8,,,,,
1,X,2005_dumoulin,2,MCI,,,"Dumoulin et al., 2005",B,ISMRM_1179_2005,Increased brain metabolite T2 relaxation times in patients with Alzheimer’s disease,3,GE,,In Vivo,Human,,17,,,70.8,7.7,Years,,,,,,0,PRESS,,,,,2,2000,1,35-355,128,,,,,,Posterior Cingulate,Unknown,,,,,,,20,20,20,8,,,,,
1,X,2005_dumoulin,3,Alzheimer's,,,"Dumoulin et al., 2005",C,ISMRM_1179_2005,Increased brain metabolite T2 relaxation times in patients with Alzheimer’s disease,3,GE,,In Vivo,Human,,40,,,72.3,10,Years,,,,,,0,PRESS,,,,,2,2000,1,35-355,128,,,,,,Posterior Cingulate,Unknown,,,,,,,20,20,20,8,,,,,
1,X,2012_edden_35,1,Healthy,,,"Edden et al., 2012",A,10.1002/jmri.22865,Measuring T2 in vivo with J-difference editing: Application to GABA at 3 tesla,3,Philips,,In Vivo,Human,,5,3,2,39.9,7.9,Years,VAPOR,,,,,0,PRESS,MEGA,,2000,2048,256,2000,1,70-180,3,CSX,CSX,,,,Occipital,Mix,32,12,56,7,9,3,30,30,30,27,"Segmentation from Evans et al., 2009 (10.1002/jmri.21996)",,,,35
1,X,2011_emir_24,1,Healthy,,,"Emir et al., 2010",A,10.1002/nbm.1583,Noninvasive quantification of T2 and concentrations of ascorbate and glutathione in the human brain from the same double-edited spectra,4,Oxford,,In Vivo,Human,,11,8,3,23,,Years,VAPOR,,,,,0,PRESS,MEGA,,6000,4035,288,4500,1,102-152,6,LCModel,LCModel,,,,Occipital,Und,,,,,,,30,30,30,27,,uemir@purdue.edu,1,,24
1,X,2016_fisher_29,1,Healthy,,Sprague Dawley,,,10.1002/nbm.3588,Characterization of the response of taurine protons to PRESS at 9.4 T for Resolving choline and Determining taurine T2,9.4,Magnex,,In Vivo,Rat,,4,4,0,3.5,,Months,CHESS,,,,,0,PRESS,,,10000,2048,128,3000,1,"27,150",2,LCModel,LCModel/In-House,,Monoexponential,,Whole Brain,Unknown,,,,,,,5,5,5,0.125,,,,,29
1,X,2019_fleysher_27,1,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1260,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,2,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1300,1,"35,285",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,3,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1000,1,"35,285",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,4,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1260,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,5,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1800,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,6,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1260,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,7,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1300,1,"35,285",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,8,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1000,1,"35,285",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,9,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1260,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,2019_fleysher_27,10,Phantom,,,,,10.1016/j.mri.2009.05.033,Retrospective correction for T1-weighting bias in T2 values obtained with various spectroscopic spin-echo acquisition schemes,3,Siemens,Trio,,Solution,,1,,,,,,,,,,,0,PRESS,,,2000,1024,,1800,1,"35,260",2,In-House,In-House,,Monoexponential,,,Unknown,,,,,,,,,,0,,,,,27
1,X,1989_frahm_11,1,Healthy,,,"Frahm et al., 1989",E,10.1002/mrm.1910110105,Localized proton NMR spectroscopy in different regions of the human brain in vivo. Relaxation times and concentrations of cerebral metabolites,1.5,Siemens,,In Vivo,Human,,3,0,3,20-35,,Years,CHESS,,,,,0,STEAM,,,,,128,1500,1,"50,135,270",3,In-House,In-House,,,,Insula,GM,,,,,,,30,30,30,27,,,,,11
1,X,1989_frahm_11,2,Healthy,,,"Frahm et al., 1989",F,10.1002/mrm.1910110105,Localized proton NMR spectroscopy in different regions of the human brain in vivo. Relaxation times and concentrations of cerebral metabolites,1.5,Siemens,,In Vivo,Human,,5,0,5,20-35,,Years,CHESS,,,,,0,STEAM,,,,,128,1500,1,"50,135,270",3,In-House,In-House,,,,Occipital,WM,,,,,,,40,40,40,64,,,,,11
1,X,1989_frahm_11,3,Healthy,,,"Frahm et al., 1989",G,10.1002/mrm.1910110105,Localized proton NMR spectroscopy in different regions of the human brain in vivo. Relaxation times and concentrations of cerebral metabolites,1.5,Siemens,,In Vivo,Human,,3,0,3,20-35,,Years,CHESS,,,,,0,STEAM,,,,,128,1500,1,"50,135,270",3,In-House,In-House,,,,Thalamus,Mix,,,,,,,30,30,30,27,,,,,11
1,X,1989_frahm_11,4,Healthy,,,"Frahm et al., 1989",H,10.1002/mrm.1910110105,Localized proton NMR spectroscopy in different regions of the human brain in vivo. Relaxation times and concentrations of cerebral metabolites,1.5,Siemens,,In Vivo,Human,,3,0,3,20-35,,Years,CHESS,,,,,0,STEAM,,,,,128,1500,1,"50,135,270",3,In-House,In-House,,,,Cerebellum,Mix,,,,,,,40,40,40,64,,,,,11
1,X,1998_fujimori_39,1,Control,,Wistar,"Fujimori et al., 1998",,10.1002/mrm.1910390419,Proton T2 relaxation of cerebral metabolites during transient global ischemia in rat brain,2.4,Bruker,,In Vivo,Rat,,10,,,,,,,,,,,0,STEAM,,,,,64- 128,3000,1,"20,68,135,206,270",5,LCModel,LCModel,,,,,Unknown,,,,,,,7,5,7,0.245,,,,,39
1,X,1998_fujimori_39,2,Control,,Wistar,"Fujimori et al., 1998",,10.1002/mrm.1910390419,Proton T2 relaxation of cerebral metabolites during transient global ischemia in rat brain,2.4,Bruker,,In Vivo,Rat,,8,,,,,,,,,,,0,STEAM,,,,,64- 128,3000,1,"20,68,135,206,270",5,LCModel,LCModel,,,,,Unknown,,,,,,,7,5,7,0.25,,,,,39
1,X,1998_fujimori_39,3,Control,,Wistar,"Fujimori et al., 1998",,10.1002/mrm.1910390419,Proton T2 relaxation of cerebral metabolites during transient global ischemia in rat brain,2.4,Bruker,,In Vivo,Rat,,5,,,,,,,,,,,0,STEAM,,,,,64- 128,3000,1,"20,68,135,206,270",5,LCModel,LCModel,,,,,Unknown,,,,,,,7,5,7,0.25,,,,,39
1,X,1998_fujimori_39,4,Ischemia,90 Minutes,Wistar,"Fujimori et al., 1998",,10.1002/mrm.1910390419,Proton T2 relaxation of cerebral metabolites during transient global ischemia in rat brain,2.4,Bruker,,In Vivo,Rat,,10,,,,,,,,,,,0,STEAM,,,,,64- 128,3000,1,"20,68,135,206,270",5,LCModel,LCModel,,,,,Unknown,,,,,,,7,5,7,0.25,,,,,39
